Codmun,ESPVIDA,FECTOT,MORT5,RAZDEP,SOBRE40,SOBRE60,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,RDPC,RIND,RMPOB,RPOB,THEIL,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M15A17CF,T_MULCHEFEFIF014,T_RMAXIDOSO,T_SLUZ,IDHM,IDHM_E,IDHM_L,IDHM_R,MORT1
110001,70.75,2.24,25.49,47.37,94.5,83.18,5.84,8.67,1.22,1.52,11.99,1.68,13.0,2.72,15.76,0.58,14.29,19.01,26.04,37.33,47.12,62.99,476.99,14.29,56.64,120.71,0.6,93.69,80.2,22.58,94.05,93.98,9.31,40.27,24.81,54.06,6.75,14.51,2.2,6.02,0.641,0.526,0.763,0.657,23.8
110002,73.36,1.91,20.53,46.68,96.12,87.69,4.36,9.18,1.55,1.09,7.9,1.13,8.53,1.89,10.48,0.53,4.36,6.65,11.54,18.76,29.04,43.11,689.95,30.85,79.5,155.7,0.51,98.54,85.35,27.15,96.72,98.58,11.4,26.59,12.27,37.81,9.1,18.07,1.4,1.42,0.702,0.6,0.806,0.716,19.2
110003,70.39,2.15,26.58,48.12,94.27,82.57,6.87,10.09,0.62,1.06,13.63,3.46,14.73,1.92,16.78,0.51,7.27,8.51,21.2,31.01,46.98,61.89,457.17,29.75,82.18,148.29,0.44,95.49,91.63,19.93,99.14,96.36,3.31,38.52,21.53,54.79,5.47,7.03,3.1,3.64,0.65,0.559,0.757,0.65,24.8
110004,74.27,1.9,15.38,43.79,96.41,88.56,5.57,9.74,1.01,0.8,8.29,0.93,8.94,1.57,10.95,0.57,5.97,8.77,13.08,20.03,29.82,43.31,738.06,24.18,72.45,147.58,0.61,97.96,93.44,20.5,98.17,98.89,1.85,26.16,11.58,39.87,6.03,12.8,1.84,1.11,0.718,0.62,0.821,0.727,14.3
110005,72.94,2.12,19.42,45.67,95.78,86.72,6.44,10.22,1.14,0.75,10.29,1.06,11.17,1.57,13.51,0.5,4.72,6.93,13.7,22.08,34.85,51.37,577.18,32.83,81.51,155.2,0.46,97.53,86.87,16.66,91.89,98.85,5.34,32.21,15.53,46.96,1.77,25.88,1.43,1.15,0.692,0.602,0.799,0.688,18.1
110006,73.81,1.89,17.28,45.82,96.23,88.03,7.51,10.4,0.51,1.23,12.43,0.7,13.41,1.78,16.12,0.49,6.64,10.12,15.76,26.97,37.11,53.69,535.41,24.82,74.36,148.45,0.45,95.54,93.89,14.73,92.79,97.76,2.99,33.74,16.62,47.48,10.04,14.0,1.9,2.24,0.685,0.584,0.814,0.676,16.1
110007,71.45,2.29,23.45,46.32,94.93,84.34,5.67,9.82,1.25,1.54,12.47,1.74,13.55,1.5,16.25,0.48,10.16,11.9,24.02,33.3,46.42,62.77,402.15,25.02,72.06,133.15,0.43,93.24,86.43,14.46,90.19,97.81,6.31,44.63,26.51,56.19,5.58,10.26,1.11,2.19,0.613,0.473,0.774,0.63,21.9
110008,70.04,2.72,27.66,60.13,94.05,81.97,3.82,9.22,1.48,1.44,8.6,1.78,9.39,2.33,11.31,0.52,9.66,12.45,30.48,42.14,55.8,70.24,370.77,30.56,82.83,133.54,0.48,95.67,54.32,36.18,79.35,90.13,36.41,41.98,28.19,52.15,18.02,23.22,2.12,9.87,0.611,0.493,0.751,0.616,25.8
110009,74.15,2.22,16.47,46.83,96.41,88.54,5.21,9.55,2.17,1.28,11.33,1.11,12.18,2.54,14.87,0.52,6.6,9.79,13.86,21.58,35.08,49.34,590.8,21.45,69.29,152.13,0.48,93.7,84.71,19.97,91.07,96.7,7.66,35.2,17.1,48.62,7.73,24.7,1.88,3.3,0.672,0.536,0.819,0.691,15.4
110010,74.39,2.61,15.92,56.67,96.53,88.88,4.82,8.17,2.2,1.77,8.06,1.99,8.7,2.78,10.47,0.54,10.38,15.3,23.47,34.13,43.92,57.55,494.69,22.3,70.81,129.76,0.51,93.26,49.32,43.4,90.41,97.71,36.84,30.54,21.04,42.17,10.53,22.46,1.73,2.29,0.657,0.519,0.823,0.663,14.8
