Codmun6;Município;ESPVIDA;MORT5;T_ANALF15M;GINI;PIND;PINDCRI;PMPOB;PMPOBCRI;PPOB;PPOBCRI;THEIL;T_DENS;T_LIXO;AGUA_ESGOTO;T_MULCHEFEFIF014;T_NESTUDA_NTRAB_MMEIO;IDHM;IDHM_E;IDHM_L;IDHM_R;MORTI
110001;ALTA FLORESTA D'OESTE;70.75;25.49;11.99;0.58;14.29;19.01;26.04;37.33;47.12;62.99;0.6;22.58;94.05;9.31;14.51;16.12;0.641;0.526;0.763;0.657;23.8
110002;ARIQUEMES;73.36;20.53;7.9;0.53;4.36;6.65;11.54;18.76;29.04;43.11;0.51;27.15;96.72;11.4;18.07;9.67;0.702;0.6;0.806;0.716;19.2
110003;CABIXI;70.39;26.58;13.63;0.51;7.27;8.51;21.2;31.01;46.98;61.89;0.44;19.93;99.14;3.31;7.03;16.59;0.65;0.559;0.757;0.65;24.8
110004;CACOAL;74.27;15.38;8.29;0.57;5.97;8.77;13.08;20.03;29.82;43.31;0.61;20.5;98.17;1.85;12.8;9.64;0.718;0.62;0.821;0.727;14.3
110005;CEREJEIRAS;72.94;19.42;10.29;0.5;4.72;6.93;13.7;22.08;34.85;51.37;0.46;16.66;91.89;5.34;25.88;10.16;0.692;0.602;0.799;0.688;18.1
110006;COLORADO DO OESTE;73.81;17.28;12.43;0.49;6.64;10.12;15.76;26.97;37.11;53.69;0.45;14.73;92.79;2.99;14;9.76;0.685;0.584;0.814;0.676;16.1
110007;CORUMBIARA;71.45;23.45;12.47;0.48;10.16;11.9;24.02;33.3;46.42;62.77;0.43;14.46;90.19;6.31;10.26;16.03;0.613;0.473;0.774;0.63;21.9
110008;COSTA MARQUES;70.04;27.66;8.6;0.52;9.66;12.45;30.48;42.14;55.8;70.24;0.48;36.18;79.35;36.41;23.22;18.57;0.611;0.493;0.751;0.616;25.8
110009;ESPIGÃO D'OESTE;74.15;16.47;11.33;0.52;6.6;9.79;13.86;21.58;35.08;49.34;0.48;19.97;91.07;7.66;24.7;10.4;0.672;0.536;0.819;0.691;15.4
110010;GUAJARÁ-MIRIM;74.39;15.92;8.06;0.54;10.38;15.3;23.47;34.13;43.92;57.55;0.51;43.4;90.41;36.84;22.46;16.36;0.657;0.519;0.823;0.663;14.8
110011;JARU;74.51;15.63;10.66;0.49;4.32;7.56;13.78;21.51;32.12;43.73;0.44;19.09;95.04;15.11;19.3;10.34;0.689;0.577;0.825;0.687;14.6
110012;JI-PARANÁ;73.6;17.43;7.79;0.53;2.67;4.34;8.56;14.72;26.26;40.34;0.52;23.3;95.36;5.87;15.55;6.73;0.714;0.617;0.81;0.728;16.2
110013;MACHADINHO D'OESTE;70.32;26.79;11.79;0.55;17.59;22.26;28.55;38.74;51.72;65.09;0.52;28.87;91.21;17.19;27.21;17.55;0.596;0.446;0.755;0.629;25
110014;NOVA BRASILÂNDIA D'OESTE;70.75;25.49;11.25;0.56;10.3;12.69;23.16;31.29;46.94;60.55;0.57;20.31;94.84;9.6;10.99;12.46;0.643;0.524;0.763;0.664;23.8
110015;OURO PRETO DO OESTE;73.72;17.49;10.36;0.48;3.71;5.79;11.73;19.31;30.04;43.49;0.4;17.02;96.79;5.61;12.37;7.29;0.682;0.569;0.812;0.687;16.3
